depth_m,lithology,age_ka
624.655,5,70380.76
625.08,1,70384.66
625.43,1,70387.96
625.73,1,70390.86
625.95,2,70393.12
626.62,1,70399.98
627.5,2,70408.52
628.155,1,70414.76
628.855,3,70421.8
629.655,4,70431.53
630.29,5,70440.19
631.415,5,70455.69
632.39,2,70469.29
632.505,3,70471.13
632.685,2,70473.51
632.985,3,70477.31
633.32,2,70482.17
633.545,3,70485.32
633.91,2,70490.16
634.45,3,70497.75
635.245,3,70508.76
635.97,3,70518.86
636.205,4,70522.24
636.835,3,70530.82
637.65,3,70541.95
638.275,2,70550.46
638.88,2,70558.64
639.28,3,70564.22
639.96,2,70573.6
640.725,2,70584.16
641.305,3,70592.4
642.64,3,70610.76
643.765,2,70626.3
644.13,2,70632.67
645.25,2,70653.59
647.25,1,70691.06
650.84,1,70758.0
653.45,1,70806.68
653.755,1,70812.22
656.075,1,70852.92
659.155,1,70906.85
